lng,lat
-122.4145981,37.7858536
-122.4007464,37.79079241
-122.4202745,37.786838
-122.4013751,37.7722077
-122.4337277,37.7973754
-122.4016455,37.7920704
-122.4216501,37.7782213
-122.4088486,37.7785155
-122.4091952,37.80017301
-122.4369613,37.7968395
-122.3917089,37.7822524
-122.4129553,37.7847819
-122.399513,37.7973955
-122.3921942,37.7883819
-122.4079048,37.7967275
-122.4660826,37.782945
-122.432518,37.7278455
-122.4087158,37.7527655
-122.3934371,37.7828146
-122.4150191,37.80646453
-122.4220747,37.7883076
-122.407804,37.7815764
-122.4153344,37.7756244
-122.4415814,37.8000767
-122.4210315,37.7852288
-122.4265822,37.7680785
-122.3923214,37.7783844
-122.4212346,37.7601596
-122.4130297,37.8057667
-122.4793713,37.7636766
-122.4325499,37.79042193
-122.4122096,37.776819
-122.3931835,37.7790749
-122.4467138,37.7881674
-122.3989539,37.7923052
-122.4186849,37.764208
-122.3931943,37.79088101
-122.4121519,37.786798
-122.3918622,37.77196081
-122.4207284,37.7539566
-122.396138,37.77632387
-122.3933441,37.79076142
-122.4378647,37.7207868
-122.4793223,37.7632748
-122.4226358,37.78125841
-122.4157671,37.80768331
-122.4092979,37.7976219
-122.4197658,37.7602484
-122.403674,37.7975668
-122.4529114,37.7445582
-122.4115332,37.7859297
-122.4190016,37.7571484
-122.4117129,37.7718089
-122.4038229,37.79774
-122.422199,37.784569
-122.3971769,37.7825088
-122.4211734,37.7756507
-122.4535885,37.723489
-122.4099,37.7960619
-122.4495689,37.7648382
-122.419884,37.7720138
-122.4183267,37.7876967
-122.3927667,37.7914055
-122.4846107,37.7821008
-122.4777514,37.7427798
-122.3881253,37.7881999
-122.4186754,37.7886186
-122.4339397,37.7974217
-122.414762,37.774241
-122.4155139,37.7873204
-122.4040219,37.7902951
-122.3984784,37.790387
-122.3947049,37.77090952
-122.3988905,37.7836311
-122.3961753,37.7858389
-122.3946339,37.7964607
-122.463808,37.7635419
-122.4110629,37.7756609
-122.4524684,37.7864067
-122.4038167,37.72837557
-122.4197758,37.76710654
-122.4205629,37.7643261
-122.4390804,37.8005185
-122.4029972,37.7965211
-122.4209882,37.7437018
-122.3995828,37.801119
-122.4001837,37.794691
-122.4289121,37.7982525
-122.4052424,37.7764772
-122.47259,37.7314885
-122.3923014,37.7786178
-122.4800026,37.7823105
-122.4786543,37.76342
-122.436117,37.7238958
-122.4049387,37.7943957
-122.4118321,37.776519
-122.4641471,37.7830348
-122.4823187,37.7822007
-122.3959907,37.77760101
-122.4377652,37.8003267
-122.4536107,37.74401794
-122.4501624,37.7878361
-122.4026719,37.76743276
-122.4009057,37.7974756
-122.4135028,37.7732367
-122.3880227,37.77218026
-122.4107847,37.8003688
-122.4321525,37.76478792
-122.4158317,37.8062269
-122.4418344,37.8000445
-122.4169511,37.7775904
-122.4019414,37.8003337
-122.4115519,37.7763778
-122.3994072,37.7941832
-122.3932166,37.7919688
-122.4108686,37.7793647
-122.4006422,37.7872333
-122.4210202,37.8066661
-122.3923377,37.7794388
-122.4349263,37.7886832
-122.4160675,37.8081282
-122.4052316,37.7845257
-122.4664926,37.7395295
-122.3960228,37.76719102
-122.4202069,37.7891607
-122.4323108,37.751456
-122.4088002,37.7855494
-122.4199918,37.7875304
-122.4019237,37.7973254
-122.4042792,37.7796827
-122.4063924,37.7942113
-122.4083128,37.7710069
-122.4365473,37.7996681
-122.4176768,37.7844623
-122.4166044,37.779291
-122.4775764,37.77993947
-122.4183204,37.751934
-122.4118708,37.7820485
-122.4677919,37.7640516
-122.4091022,37.8079817
-122.3931708,37.77602197
-122.3990227,37.78019561
-122.3978549,37.7924408
-122.420838,37.7932592
-122.4343981,37.7887504
-122.4089473,37.77821069
-122.4330649,37.7646796
-122.4517494,37.7875261
-122.4639945,37.7636463
-122.3986749,37.7872204
-122.4143503,37.787604
-122.4346546,37.7617523
-122.4212114,37.756736
-122.4423119,37.7150173
-122.4087952,37.7713904
-122.4358033,37.78474175
-122.3977193,37.7762557
-122.4116257,37.7787627
-122.4623711,37.7833313
-122.4081336,37.7815194
-122.4395532,37.8001648
-122.4200415,37.7815888
-122.4867036,37.7801345
-122.4177406,37.7539347
-122.3964544,37.7807048
-122.4167892,37.7789699
-122.419005,37.8070163
-122.4096455,37.7843701
-122.4203686,37.7781037
-122.3990957,37.7922872
-122.3933026,37.7729594
-122.4193104,37.7719574
-122.399142,37.7849408
-122.3903167,37.7916271
-122.410061,37.770491
-122.4614266,37.76239666
-122.4047883,37.779037
-122.4227314,37.7760778
-122.3885913,37.7854913
-122.3881923,37.7855913
-122.4336907,37.7844672
-122.4155987,37.7749084
-122.4400452,37.7992241
-122.4246911,37.79852456
-122.4221873,37.7691462
-122.4178623,37.7619813
-122.4378138,37.7768343
-122.3971221,37.7767252
-122.3965572,37.7833283
-122.4020593,37.795616
-122.421544,37.7602101
-122.4771964,37.7808627
-122.4201093,37.7686846
-122.4283836,37.7980551
-122.3961018,37.7778716
-122.3860363,37.76981346
-122.4069706,37.7914024
-122.4358047,37.78378598
-122.4126776,37.7777291
-122.3860877,37.7701571
-122.418871,37.7650307
-122.4347402,37.78467335
-122.4654128,37.7404002
-122.4081072,37.778875
-122.4780263,37.7542497
-122.406844,37.7866284
-122.4073309,37.7991248
-122.4123736,37.7888077
-122.4195409,37.7602619
-122.4013669,37.7884221
-122.387256,37.77222128
-122.4235202,37.7826046
-122.4192829,37.7806709
-122.395636,37.7840609
-122.4204293,37.7817774
-122.4157524,37.77503102
-122.4347551,37.7972447
-122.4072854,37.7921969
-122.4090095,37.79989342
-122.4086815,37.7786476
-122.3919417,37.7767881
-122.4617345,37.7831457
-122.4142136,37.7839921
-122.3909147,37.7329484
-122.4405651,37.7162961
-122.4833353,37.7426314
-122.4321517,37.7280309
-122.4204124,37.7866852
-122.3914043,37.7811862
-122.3967613,37.7936932
-122.4738637,37.7320605
-122.4357153,37.78415072
-122.3964332,37.7856356
-122.4059288,37.7961534
-122.4217378,37.764497
-122.4229717,37.7847577
-122.4222101,37.7921823
-122.4454874,37.7704342
-122.40743,37.781872
-122.4059052,37.7707957
